artist,genres,genre
Jess Glynne,"Pop, dance-pop, R&B",Pop
Fifth Harmony,"Pop, R&B, Dance",Pop
Zara Larsson,"Pop, dance-pop, R&B",Pop
Robin Thicke,"R&B, pop, soul",RB
Pharrell Williams,"Hip-hop, R&B, Pop",RB
Icona Pop,"Pop, electronic, dance",Pop
Enrique Iglesias,"Pop, dance-pop, Latin pop",Pop
Becky G,"Pop, reggaeton, latin pop",Pop
Ed Sheeran,"Pop, folk, hip hop",Pop
Kungs,"House, Tropical House, Electronic",Electronic
Swedish House Mafia,"Electro House, Progressive House, Dance-Pop",Electronic
Ne-Yo,"R&B, pop, dance",RB
Alessia Cara,"Pop, R&B, Alternative",Pop
Axwell /\ Ingrosso,"Progressive House, Electro House, Big Room",Electronic
One Direction,"Pop, Pop rock, Dance-pop",Pop
LMFAO,"Electropop, dance-pop, hip hop",Electronic
Coldplay,"Alternative Rock, Pop Rock, Pop",Alternative
P!nk,"Pop, R&B, Rock",Pop
CeeLo Green,"R&B, soul, hip hop",RB
Rachel Platten,"Pop, pop rock, folk pop",Pop
Ginuwine,"R&B, hip-hop, soul",RB
Bruno Mars,"Pop, R&B, Funk",Pop
AJR,"Pop, indie pop, alternative pop",Indie pop
The Vamps,"Pop, rock, indie",Pop
Steve Aoki,"Electronic, dance, house",Electronic
Little Mix,"Pop, R&B, Dance",Pop
Destiny's Child,"R&B, pop, hip hop",RB
Anne-Marie,"Pop, R&B, Dance",Pop
Bebe Rexha,"Pop, R&B, Dance",Pop
Camila Cabello,"Pop, R&B, Latin",Pop
Spice Girls,"Pop, Dance-pop, Teen pop",Pop
Gwen Stefani,"Pop, Rock, Electronic",Pop
Black Eyed Peas,"Pop, hip hop, dance",Pop
Maroon 5,"Pop, rock, funk",Pop
Mohombi,"Pop, R&B, Dancehall",Pop
Kris Kross Amsterdam,"Dance, Electronic, Pop",Electronic
Eva Simons,"Pop, Electronic, Dance",Pop
Halsey,"Pop, electropop, alternative rock",Pop
Cheat Codes,"Pop, electronic, dance",Electronic
Jon Bellion,"Pop, Hip hop, R&B",Pop
Vigiland,"Electro House, Big Room, Pop",Electronic
Louis The Child,"Electronic, pop, dance",Electronic
Twenty One Pilots,"Alternative, Indie, Pop",Alternative
Frank Sinatra,"Jazz, Swing, Traditional Pop",Pop
The Platters,"R&B, doo-wop, pop",RB
Ray Charles,"Soul, R&B, Jazz",RB
Ella Fitzgerald,"Jazz, Swing, Blues",Jazz
Buddy Holly,"Rock and roll, rockabilly, pop",Rock
Fats Domino,"Rhythm and Blues, Boogie-Woogie, Rock and Roll",RocknRoll
Bobby Darin,"Pop, rock, jazz",Pop
The Everly Brothers,"Rock and roll, country, pop",Rockabilly
Phil Phillips,"Rhythm and Blues, Soul, Rock",RB
Dean Martin,"Pop, Jazz, Easy Listening",Jazz
Chuck Berry,"Rock and roll, rhythm and blues, blues",Rock n Roll
Little Richard,"Rock and roll, rhythm and blues, gospel",Rock and Roll
Nat King Cole,"Jazz, Pop, R&B",Jazz
Sarah Vaughan,"Jazz, Traditional Pop, Vocal Jazz",Jazz
Eddie Cochran,"Rock and Roll, Rockabilly, Blues",Rockabilly
Jerry Lee Lewis,"Rock and roll, rockabilly, country",Rockabilly
Harry Belafonte,"Folk, Calypso, Pop",Calypso
Patti Page,"Pop, country, traditional pop",Pop
Lloyd Price,"R&B, rock and roll, soul",RB
The Spaniels,"Doo-wop, rhythm and blues, soul",Doowop
Cliff Richard & The Drifters,"Pop, rock, rock and roll",Rock
Jim Reeves,"Country, Gospel, Nashville Sound",Country
Johnny Cash,"Country, rockabilly, folk",Country
Ricky Nelson,"Rock and roll, pop, country",Rockabilly
Conway Twitty,"Country, rockabilly, honky-tonk",Country
Dinah Washington,"Jazz, blues, R&B",Jazz
Louis Armstrong,"Jazz, Swing, Blues",Jazz
The Fleetwoods,"Pop, Doo-Wop, Rock",Doowop
The Crickets,"Rock and Roll, Rockabilly, Country",Rock
Sam Cooke,"Soul, R&B, Gospel",Soul
Buddy Holly & The Crickets,"Rock and Roll, Rockabilly, Pop",Rock
Bill Haley & His Comets,"Rock and Roll, Rockabilly, Rhythm and Blues",Rockabilly
Jackie Wilson,"R&B, soul, pop",RB
Louis Prima,"jazz, swing, big band",Jazz
Perry Como,"Traditional Pop, Vocal Pop, Easy Listening",Pop
Gene Vincent & His Blue Caps,"Rockabilly, Rock and Roll, Country",Rockabilly
Patsy Cline,"Country, Traditional Pop, Rockabilly",Country
Billie Holiday,"Jazz, Blues, Swing",Jazz
Hank Williams,"Country, Honky Tonk, Folk",Country
Tommy Edwards,"Pop, R&B, Soul",RB
The Big Bopper,"Rock and roll, rockabilly, country",Rockabilly
Percy Faith,"Orchestral, Easy Listening, Pop",Easy Listening
Duane Eddy,"Rockabilly, instrumental rock, surf rock",Rockabilly
Vic Damone,"Traditional Pop, Vocal Jazz, Easy Listening",Jazz
Barrett Strong,"Soul, R&B, Pop",RB
Paul Anka,"Pop, rock, jazz",Pop
The Poni-Tails,"Pop, Doo-wop, Rock",Pop
Tennessee Ernie Ford,"Country, Gospel, Traditional Pop",Country
Johnny Mathis,"Pop, jazz, R&B",Pop
Connie Francis,"Pop, rock and roll, traditional pop",Pop
Bo Diddley,"Blues, Rock and Roll, Rhythm and Blues",Blues
The Flamingos,"Doo-Wop, R&B, Soul",DooWop
Frankie Lymon & The Teenagers,"Doo-wop, rhythm and blues, rock and roll",Doowop
Jo Stafford,"Traditional Pop, Jazz, Easy Listening",Pop
Pat Boone,"Pop, Rock, Christian",Pop
Doris Day,"Pop, jazz, traditional pop",Pop
Muddy Waters,"Blues, Chicago blues, Electric blues",Blues
Tony Bennett,"Jazz, traditional pop, vocal jazz",Jazz
Johnny & The Hurricanes,"Rock and Roll, Pop, Instrumental",Rock
Carl Perkins,"Rockabilly, Rock and Roll, Country",Rockabilly
Frankie Avalon,"Pop, rock and roll, doo-wop",Pop
Danny & The Juniors,"Doo-wop, rock and roll, pop",Rocknroll
Peggy Lee,"Jazz, traditional pop, swing",Jazz
Mickey & Sylvia,"Rock and roll, rhythm and blues, doo-wop",RB
The Clovers,"R&B, doo-wop, soul",Rhythm and Blues
The Del-Vikings,"Doo-wop, R&B, Rock and Roll",DooWop
Thurston Harris,"R&B, doo-wop, rock and roll",RB
Neil Sedaka,"Pop, rock, doo-wop",Pop
Dion & The Belmonts,"Doo-wop, rock and roll, vocal harmony",Doowop
The Diamonds,"Doo-wop, pop, rock",Doowop
Ben E. King,"Rhythm and Blues, Soul, Pop",Soul
Percy Sledge,"Soul, R&B, Gospel",Soul
Van Morrison,"Rock, Folk, Blues",Rock
Aretha Franklin,"Soul, R&B, Gospel",Soul
Otis Redding,"Soul, R&B, Blues",Soul
Sonny & Cher,"Pop, rock, folk",Pop
The Monkees,"Pop, Rock, Psychedelic",Pop
Simon & Garfunkel,"Folk, folk rock, soft rock",Folk
Dusty Springfield,"Pop, soul, R&B",Pop
Four Tops,"R&B, Soul, Pop",RB
Bee Gees,"Pop, disco, rock",Disco
Harry Nilsson,"Pop, rock, folk",Pop
The Drifters,"R&B, soul, doo-wop",RB
Stevie Wonder,"R&B, soul, pop",Soul
The Mamas & The Papas,"Folk, Sunshine Pop, Pop Rock",Folk rock
The Righteous Brothers,"Pop, R&B, Blue-eyed soul",Pop
The Spencer Davis Group,"Rock, R&B, Pop",Rock
The Supremes,"Soul, R&B, Pop",RB
"Peter, Paul and Mary","Folk, folk rock, pop",Folk
Roy Orbison,"Rock, pop, rockabilly",Rock
Martha Reeves & The Vandellas,"R&B, soul, pop",Soul
Petula Clark,"Pop, easy listening, adult contemporary",Pop
Wilson Pickett,"Soul, R&B, Funk",Soul
Love Affair,"Pop, rock, soul",Pop
Tom Jones,"Pop, rock, soul",Pop
Stone Poneys,"Folk, Pop, Country",Folk
The 5th Dimension,"Pop, soul, R&B",Pop
Sly & The Family Stone,"Funk, Soul, Psychedelic Rock",Funk
Creedence Clearwater Revival,"Rock, roots rock, swamp rock",Rock
Them,"Rhythm and Blues, Rock and Roll, Psychedelic Rock",Rock
The Band,"Rock, Folk, Americana",Rock
Glen Campbell,"Country, pop, folk",Country
Herb Alpert & The Tijuana Brass,"Jazz, bossa nova, easy listening",Latin Jazz
Ike & Tina Turner,"Soul, R&B, Rock",Soul
Dionne Warwick,"Pop, soul, R&B",RB
Small Faces,"Rock, Psychedelic, Mod",Rock
The Shirelles,"Doo-wop, R&B, Pop",RB
The Archies,"Pop, Rock, Bubblegum Pop",Pop
Little Eva,"R&B, soul, pop",Pop
Gerry & The Pacemakers,"Pop, Rock, Merseybeat",Rock
The Byrds,"Folk rock, psychedelic rock, country rock",Folk rock
Joni Mitchell,"Folk, Rock, Pop",Folk
Peter Sarstedt,"Folk, pop, soft rock",Folk
The Temptations,"R&B, Soul, Pop",RB
The Easybeats,"Rock, pop, garage rock",Rock
Smokey Robinson & The Miracles,"Soul, R&B, Pop",Soul
The Seekers,"Folk, Pop, Easy Listening",Folk
The Ronettes,"R&B, Pop, Girl Group",Pop
Lulu,"Pop, rock, soul",Pop
The Chiffons,"Pop, R&B, Doo-wop",Pop
Jimmy Ruffin,"R&B, Soul, Pop",RB
The Kingsmen,"Rock, Garage rock, Surf rock",Rock
Peter And Gordon,"Folk rock, pop rock, British invasion",Pop
Procol Harum,"Rock, progressive rock, baroque pop",Rock
Andy Williams,"Pop, easy listening, vocal jazz",Pop
Sam & Dave,"Soul, R&B, Funk",Soul
Fontella Bass,"Soul, R&B, Jazz",Soul
The Contours,"R&B, soul, pop",RB
Fleetwood Mac,"Rock, pop, blues",Rock
The Troggs,"Rock, garage rock, proto-punk",Rock
Eddie Floyd,"R&B, Soul, Funk",Soul
Scott McKenzie,"Folk, psychedelic rock, pop",Folk
Mary Wells,"R&B, soul, pop",Soul
Bobbie Gentry,"Country, Pop, Folk",Country
Judy Collins,"Folk, folk rock, pop",Folk
Manfred Mann,"rock, pop rock, rhythm and blues",Rock
Tommy James & The Shondells,"Rock, Pop, Psychedelic",Rock
The Hollies,"Pop, rock, folk",Rock
The Searchers,"Rock, Pop, Beat",Pop
Etta James,"Soul, Rhythm and Blues, Jazz",RB
The Young Rascals,"Rock, soul, pop",Rock
The McCoys,"Rock, pop, garage rock",Rock
Bruce Channel,"Rock, Country, Blues",Pop
The Cascades,"Pop, rock, doo-wop",Pop
Yusuf / Cat Stevens,"Folk, Rock, Pop",Folk
Commodores,"Funk, soul, R&B",Funk
Eagles,"Rock, country, folk",Rock
Elton John,"Rock, pop, soft rock",Pop
McFadden & Whitehead,"R&B, soul, disco",RB
Bill Withers,"Soul, R&B, Funk",Soul
Eric Clapton,"Blues, Rock, Reggae",Blues
Rod Stewart,"Rock, pop, blues",Rock
Carly Simon,"Pop, rock, folk",Pop
The Doobie Brothers,"Rock, soft rock, pop",Rock
Supertramp,"Progressive rock, pop rock, art rock",Rock
The Bellamy Brothers,"Country, country rock, pop",Country
Gladys Knight & The Pips,"R&B, soul, pop",RB
Billy Joel,"Rock, pop, soft rock",Rock
Don McLean,"Folk, rock, country",Folk
Genesis,"Progressive rock, pop rock, art rock",Rock
Frankie Valli & The Four Seasons,"Pop, rock, doo-wop",Pop
Peter Gabriel,"Progressive Rock, Art Rock, World Music",Rock
Queen,"Rock, pop, glam rock",Rock
ABBA,"Pop, disco, europop",Pop
Paul Simon,"Folk, world music, pop",Folk
Electric Light Orchestra,"Rock, pop, symphonic rock",Rock
Bread,"Soft rock, pop rock, folk rock",Soft rock
Neil Diamond,"Pop, rock, folk",Pop
Janis Joplin,"Rock, blues, soul",Blues
James Taylor,"Folk, Rock, Pop",Folk
Carole King,"Pop, rock, folk",Pop
John Denver,"Folk, country, pop",Folk
Dr. Hook,"Country, rock, soft rock",Country
Boston,"Rock, hard rock, arena rock",Rock
Wings,"Rock, Pop, Soft Rock",Rock
Starland Vocal Band,"Pop, soft rock, adult contemporary",Pop
Barry Manilow,"Pop, soft rock, adult contemporary",Pop
America,"Folk, rock, pop",Soft rock
Albert Hammond,"pop, soft rock, adult contemporary",Pop
Marvin Hamlisch,"Classical, Jazz, Musical Theater",Classical
Captain & Tennille,"Pop, soft rock, adult contemporary",Pop
Bruce Springsteen,"Rock, heartland rock, Americana",Rock
Hot Chocolate,"Pop, disco, soul",RB
Bachman-Turner Overdrive,"Rock, Hard Rock, Classic Rock",Rock
Chicago,"Rock, Jazz, Pop",Rock
Derek & The Dominos,"Rock, blues, classic rock",Rock
Bob Seger,"Rock, Heartland Rock, Folk Rock",Rock
Dolly Parton,"Country, pop, bluegrass",Country
Cheap Trick,"Rock, power pop, hard rock",Rock
Exile,"Pop, R&B, Soul",RB
Hues Corporation,"Disco, funk, soul",disco
Todd Rundgren,"Rock, pop, electronic",Rock
Gerry Rafferty,"Rock, folk rock, soft rock",Soft rock
T. Rex,"Glam rock, psychedelic rock, folk rock",Glam Rock
The Boomtown Rats,"Alternative rock, punk rock, new wave",New Wave
Steely Dan,"Rock, jazz, pop",Rock
The Knack,"Rock, power pop, new wave",Rock
Lou Reed,"Rock, experimental, punk",Rock
Neil Young,"Folk, rock, country",Folk
Leo Sayer,"Pop, rock, disco",Pop
Barry White,"R&B, soul, disco",Soul
Jimmy Cliff,"Reggae, ska, roots reggae",Reggae
Carpenters,"Pop, soft rock, adult contemporary",Pop
Crystal Gayle,"Country, Pop, Soft Rock",Country
The O'Jays,"R&B, Soul, Funk",RB
Dire Straits,"Rock, folk rock, blues rock",Rock
George Harrison,"Rock, Pop, Folk",Rock
Suzi Quatro,"Rock, glam rock, pop rock",Rock
Thin Lizzy,"Hard Rock, Heavy Metal, Blues Rock",Rock
Patti Smith,"Punk Rock, Art Rock, Proto-Punk",Punk
John Paul Young,"Disco, pop, rock",Pop
Seals and Crofts,"Folk, soft rock, pop",Folk
The Police,"Rock, New Wave, Reggae",Rock
Ace Frehley,"Hard rock, heavy metal, glam metal",Rock
Sister Sledge,"Disco, R&B, Funk",Disco
Bette Midler,"Pop, rock, adult contemporary",Pop
Al Green,"Soul, R&B, Gospel",Soul
Steve Miller Band,"Rock, blues, pop",Rock
Billy Ocean,"Pop, R&B, Soul",RB
England Dan & John Ford Coley,"pop, soft rock, adult contemporary",Soft Rock
Frankie Valli,"Pop, rock, R&B",Pop
a-ha,"Synth-pop, new wave, pop",Pop
Phil Collins,"Pop, rock, adult contemporary",Pop
Cyndi Lauper,"Pop, rock, new wave",Pop
Tina Turner,"Rock, Pop, R&B",Pop
Culture Club,"Pop, New Wave, Dance",Pop
Michael Jackson,"Pop, R&B, Soul",Pop
Whitney Houston,"Pop, R&B, Soul",Pop
Bryan Adams,"Rock, pop rock, soft rock",Rock
"Earth, Wind & Fire","Funk, R&B, Soul",Funk
George Michael,"Pop, R&B, Dance",Pop
U2,"Rock, alternative rock, post-punk",Rock
Simple Minds,"New Wave, Alternative Rock, Synth-Pop",New Wave
Eric Carmen,"Pop, rock, soft rock",Pop
Huey Lewis & The News,"Rock, pop, new wave",Rock
Lionel Richie,"Pop, R&B, Soul",Pop
Katrina & The Waves,"Pop, rock, new wave",Pop
Erasure,"Synthpop, new wave, dance",Synthpop
Pet Shop Boys,"Synthpop, dance-pop, electronic",Synthpop
Journey,"Rock, hard rock, pop",Rock
Roxette,"Pop, rock, adult contemporary",Pop
Kenny Loggins,"Soft rock, pop rock, adult contemporary",Soft rock
Wham!,"Pop, dance-pop, funk",Pop
Starship,"Pop, rock, soft rock",Pop
The Bangles,"Pop, rock, new wave",Pop
Bill Medley,"Soul, R&B, Pop",Pop
Steve Winwood,"Rock, pop, blues",Rock
Madonna,"Pop, dance, electronic",Pop
Philip Bailey,"R&B, soul, funk",RB
Cher,"Pop, rock, dance",Pop
Don Henley,"Rock, country, pop",Rock
Robert Palmer,"Rock, pop, soul",pop
The Pointer Sisters,"R&B, pop, disco",Pop
Belinda Carlisle,"Pop, rock, new wave",Pop
Pretenders,"Rock, new wave, pop",Rock
Bon Jovi,"Rock, Hard Rock, Pop",Rock
TOTO,"Rock, Pop, Soft Rock",Rock
The Communards,"Pop, dance-pop, synth-pop",Pop
Mike & The Mechanics,"Rock, Pop, Soft rock",Pop
John Parr,"Rock, pop, AOR",Rock
John Farnham,"Pop, rock, adult contemporary",Pop
Bruce Hornsby,"Rock, jazz, pop",Rock
Glenn Frey,"Rock, soft rock, country",Rock
Prince,"Funk, R&B, Pop",Funk
Irene Cara,"Pop, R&B, Dance",Pop
Fine Young Cannibals,"Pop, new wave, soul",Pop
INXS,"Rock, new wave, post-punk",Rock
Climie Fisher,"Pop, rock, new wave",Pop
The Human League,"New Wave, Synth-pop, Electronic",Synthpop
Texas,"Rock, Alternative, Pop",Alternative
Crowded House,"Rock, pop, alternative",Rock
Joe Cocker,"Rock, Blues, Soul",Rock
Bonnie Tyler,"Rock, Pop, Country",Pop
Foreigner,"Rock, hard rock, AOR",Rock
Whitesnake,"Hard Rock, Heavy Metal, Blues Rock",Rock
Laura Branigan,"Pop, dance-pop, adult contemporary",Pop
The Proclaimers,"Pop, rock, folk",Pop
Alannah Myles,"Rock, Pop, Blues",Rock
UB40,"Reggae, pop, dub",Reggae
Van Halen,"Rock, hard rock, heavy metal",Hard Rock
Dan Hartman,"Disco, pop, rock",Disco
The Waterboys,"Folk, rock, alternative",Rock
Depeche Mode,"Synthpop, alternative rock, electronic",Synthpop
Christopher Cross,"Soft rock, yacht rock, pop",Soft rock
The B-52's,"New Wave, Punk rock, Rock",New Wave
Daryl Hall & John Oates,"Pop, rock, soul",Pop
Heart,"Rock, Hard Rock, Pop",Rock
Eurythmics,"Pop, New Wave, Synthpop",Pop
Madness,"Ska, new wave, pop",Ska
Los Lobos,"Latin, rock, blues",Rock
Midnight Oil,"Rock, Alternative Rock, Post-Punk.",Rock
Paul McCartney,"Rock, Pop, Folk",Rock
Peter Cetera,"Pop, rock, adult contemporary",Rock
Cutting Crew,"Pop, rock, new wave",Pop
Kool & The Gang,"Funk, R&B, Disco",Funk
KC & The Sunshine Band,"Disco, funk, R&B",Disco
Chris de Burgh,"Pop, rock, adult contemporary",Pop
Simply Red,"Pop, soul, rock",Pop
Backstreet Boys,"Pop, R&B, Dance",Pop
Natalie Imbruglia,"Pop, Rock, Alternative",Pop
Oasis,"Rock, Britpop, Britrock",Rock
Sixpence None The Richer,"Pop, alternative rock, Christian pop",Pop
Coolio,"Hip hop, rap, gangsta rap.",Hip hop
Nirvana,"Alternative Rock, Grunge, Punk",Grunge
Shania Twain,"Country, Pop, Rock",Country
Hanson,"Pop, Rock, Folk",Pop
Wilson Phillips,"Pop, rock, country",Pop
Take That,"Pop, dance-pop, adult contemporary",Pop
Boyzone,"Pop, boy band, adult contemporary",Pop
Alanis Morissette,"Alternative rock, pop rock, post-grunge.",Alternative
The Rembrandts,"Pop, rock, alternative",Pop
Mr. Big,"Rock, hard rock, glam metal",Rock
Ronan Keating,"Pop, Rock, Adult Contemporary",Pop
Faith Hill,"Country, pop, country pop",Country
Annie Lennox,"Pop, rock, electronic",Pop
Janet Jackson,"Pop, R&B, Dance",Pop
Christina Aguilera,"Pop, R&B, Dance",Pop
Ace of Base,"Pop, Dance-pop, Eurodance",Pop
Robbie Williams,"Pop, rock, dance",Pop
Savage Garden,"Pop, rock, adult contemporary",Pop
Wet Wet Wet,"Pop, rock, soft rock",Pop
Joshua Kadison,"Pop, rock, adult contemporary",Pop
Mariah Carey,"Pop, R&B, Soul",Pop
Go West,"Pop, rock, new wave",Pop
Big Mountain,"Reggae, pop, rock",Reggae
Meat Loaf,"Rock, pop, glam rock",Rock
Hootie & The Blowfish,"Pop, Rock, Country",Rock
Céline Dion,"Pop, Adult Contemporary, R&B",Pop
M People,"Dance, house, pop",House
Deep Blue Something,"Alternative Rock, Pop Rock, Indie Rock",Alternative
Donna Lewis,"Pop, Adult Contemporary, Dance",Pop
Amy Grant,"Pop, Christian, Country",Pop
Gabrielle,"R&B, Pop, Soul",Pop
S Club 7,"Pop, Dance, R&B",Pop
Sheryl Crow,"Pop, rock, country",Rock
Peabo Bryson,"R&B, soul, adult contemporary",RB
Des'ree,"Pop, Soul, R&B",RB
B*Witched,"Pop, dance-pop, teen pop",Pop
All Saints,"Pop, R&B, Dance",Pop
Tom Cochrane,"Rock, pop, folk",Rock
All-4-One,"R&B, Pop, Soul",RB
TLC,"R&B, hip hop, pop",RB
Maria McKee,"Alternative Rock, Country, Americana",Rock
Ricky Martin,"Pop, Latin Pop, Dance",Pop
The Goo Goo Dolls,"Alternative Rock, Pop Rock, Post-Grunge",Alternative
Peter Andre,"Pop, R&B, Dance",Pop
Shanice,"R&B, soul, pop",RB
Lighthouse Family,"Pop, R&B, Soul",Pop
Jennifer Paige,"Pop, dance-pop, electronic",Pop
The KLF,"House, techno, ambient",Electronic
Meredith Brooks,"Pop, Rock, Alternative",Rock
Seal,"Pop, R&B, Soul",Pop
Anastacia,"Pop, R&B, Dance",Pop
The Corrs,"Pop, Rock, Celtic folk",Pop
Aerosmith,"Rock, hard rock, blues rock",Rock
Lonestar,"Country, country pop, country rock",Country
R.E.M.,"Alternative rock, college rock, jangle pop",Alternative
4 Non Blondes,"Alternative Rock, Pop Rock, Post-Grunge",Alternative
New Kids On The Block,"Pop, dance-pop, R&B",Pop
Tal Bachman,"Pop, Rock, Alternative",Pop
Eagle-Eye Cherry,"Pop, rock, alternative",Pop
CeCe Peniston,"R&B, dance-pop, house",Dance
Macy Gray,"Soul, R&B, Pop",RB
New Radicals,"Pop, rock, alternative",Alternative
Spin Doctors,"Alternative Rock, Funk Rock, Jam Band",Alternative rock
Counting Crows,"Rock, alternative rock, pop",Alternative Rock
Lou Bega,"Pop, Latin, Swing",Latin pop
Black Box,"House, Italodance, Eurodance",House
Sinéad O'Connor,"Alternative Rock, Folk, Pop",Alternative folk
East 17,"Pop, R&B, Dance",Pop
Boyz II Men,"R&B, soul, pop",RB
SNAP!,"dance, eurodance, pop",Dance
K-Ci & JoJo,"R&B, soul, pop",RB
Extreme,"Rock, hard rock, funk metal",Rock
Santana,"Latin Rock, Blues Rock, Jazz Fusion",Rock
Amy Winehouse,"Soul, R&B, Jazz",Soul
Mary J. Blige,"R&B, soul, hip hop",RB
James Blunt,"Pop, rock, folk",Pop
Kelly Clarkson,"Pop, rock, country",Pop
Jay Sean,"Pop, R&B, Dance",RB
Mike Posner,"Pop, R&B, Electronic",Pop
Justin Timberlake,"Pop, R&B, Dance",Pop
Iyaz,"Pop, R&B, Reggae",Pop
Cascada,"dance, pop, europop",Dance
Sugababes,"Pop, R&B, Dance",Pop
The Pussycat Dolls,"Pop, R&B, Dance",Pop
Avril Lavigne,"Pop, rock, punk",Pop
*NSYNC,"Pop, R&B, Dance",Pop
Fergie,"Pop, R&B, Hip Hop",Pop
Adele,"Pop, soul, R&B",Pop
Gym Class Heroes,"Hip hop, alternative rock, pop",Hip hop
Soulja Boy,"Hip hop, trap, rap",Hip hop
Chris Brown,"R&B, pop, hip hop",RB
Atomic Kitten,"Pop, Dance-pop, R&B",Pop
Leona Lewis,"R&B, Pop, Soul",Pop
Kanye West,"Hip-hop, rap, R&B",Hip hop
Timbaland,"R&B, Hip hop, Pop",Hiphop
Train,"Pop, rock, alternative",Pop
Jamelia,"R&B, pop, soul",RB
Estelle,"R&B, soul, pop",RB
Sara Bareilles,"Pop, pop rock, singer-songwriter",Pop
Sean Kingston,"Reggae, Pop, R&B",Reggae
Jordin Sparks,"Pop, R&B, Dance",Pop
T.I.,"Hip hop, rap, trap",Hip hop
Eminem,"Hip hop, rap, pop",Hiphop
MIKA,"Pop, dance-pop, indie pop",Pop
Ciara,"R&B, pop, hip hop",RB
The Script,"Pop, rock, alternative",Pop
Alicia Keys,"R&B, soul, neo soul",RB
Toploader,"Indie rock, Britpop, Alternative rock",Pop
Westlife,"Pop, Pop Rock, Boy Band",Pop
Florence + The Machine,"Indie rock, baroque pop, art pop",Indie pop
Owl City,"Electronic, Synth-pop, Indie pop",Electronic
Akon,"R&B, hip hop, pop",Hip hop
t.A.T.u.,"Pop, Electronic, Dance",Pop
Nelly,"Hip hop, pop, R&B",Hiphop
Outkast,"Hip hop, funk, R&B",Hip hop
La Roux,"Synth-pop, new wave, electronica",Electronic
Wheatus,"Pop, rock, alternative",Pop
Michael Bublé,"Pop, Jazz, Swing",Jazz
The All-American Rejects,"Pop punk, alternative rock, power pop",Alternative Rock
Keri Hilson,"R&B, pop, hip-hop",RB
David Archuleta,"Pop, R&B, Soul",Pop
Shontelle,"Pop, R&B, Reggae",Pop
Corinne Bailey Rae,"Soul, R&B, Pop",Soul
Colbie Caillat,"Pop, folk, acoustic",Pop
Mario,"R&B, pop, soul",RB
Fall Out Boy,"Pop punk, emo pop, alternative rock",Pop punk
Kylie Minogue,"Pop, dance, disco",Pop
50 Cent,"Hip hop, gangsta rap, rap",Hip hop
Jason Mraz,"Pop, acoustic, folk",Pop
Kings of Leon,"Rock, Southern Rock, Alternative",Alternative
Adam Lambert,"Pop, rock, electronic",Pop
Billie Eilish,"Electropop, alternative pop, dark pop",Pop
Charlie Puth,"Pop, R&B, Soul",Pop
Demi Lovato,"Pop, R&B, Dance",Pop
ZAYN,"Pop, R&B, Alternative",Pop
MAGIC!,"Reggae, pop, rock",Reggae
Dan + Shay,"Country, pop, country pop",Country
James Arthur,"Pop, R&B, Soul",Pop
MKTO,"Pop, R&B, Hip hop",Pop
R. City,"Pop, R&B, Hip hop",Pop
OneRepublic,"Pop, rock, alternative",Pop
Harry Styles,"Pop, Rock, Folk",Pop
Lewis Capaldi,"Pop, indie pop, alternative pop",Pop
John Legend,"R&B, soul, pop",RB
Carly Rae Jepsen,"Pop, dance-pop, synth-pop",Pop
Troye Sivan,"Synthpop, electropop, indie pop",Pop
The Wanted,"Pop, dance-pop, electropop",Pop
JP Saxe,"Pop, R&B, Soul",Pop
Alec Benjamin,"Pop, folk-pop, singer-songwriter",Pop
Joel Adams,"Pop, acoustic, indie",Pop
Maggie Lindemann,"Pop, alternative pop, indie pop",Pop
Lauv,"Pop, electropop, indie pop",Pop
Kygo,"Pop, Electronic, Tropical House",Electronic
Major Lazer,"Dancehall, EDM, Reggae",Electronic
Lukas Graham,"Pop, R&B, Soul",Pop
Alexis Ffrench,"Classical, contemporary classical, piano",Classical
Dirk Maassen,"Piano, Neo-Classical, Ambient",Neoclassical
The Piano Guys,"Classical, pop, contemporary instrumental",Classical
Ludwig van Beethoven,"Classical, Romantic, Symphony",Classical
Erik Satie,"Impressionism, Minimalism, Avant-garde",Classical
Henry Smith,"Pop, R&B, Soul",Pop
Antonio Vivaldi,"Baroque, Classical, Instrumental",Baroque
Eydís Evensen,"Pop, Indie, Electronic",Pop
Johann Sebastian Bach,"Baroque, Classical, Romantic",Baroque
Thibault Cauvin,"Classical, Flamenco, Jazz",Classical
Johannes Brahms,"Classical, Romantic, Chamber Music",Classical
Alban Claudin,"Electronic, Ambient, Experimental",Classical
Anton Rubinstein,"Classical, Romantic, Piano",Classical
Davide Locatelli,"Classical, Electronic, Experimental",Classical
Tomaso Albinoni,"Baroque, Classical, Chamber Music",Baroque
Lavinia Meijer,"Classical, contemporary classical, experimental.",Classical
Charles Gounod,"Classical, Romantic, Opera",Classical
Jacques Offenbach,"Classical, Romantic, Operetta",Classical
2CELLOS,"Classical, crossover, rock",Classical
Wide Eyed,"Indie Rock, Alternative, Pop",Indie pop
Sergei Rachmaninoff,"Classical, Romantic, Piano",Classical
Chloe Flower,"Classical, pop, cinematic",Classical
Frédéric Chopin,"Classical, Romantic, Piano",Classical
Olivia Belli,"Classical, Ambient, Piano",Classical
Amy Dickson,"Classical, Jazz, Contemporary classical",Classical
Ilan Eshkeri,"Classical, Film Score, Electronic",Film Score
Annelie,"Pop, Indie, Electronic",Pop
